;;;;;;;;
Egenskap:;;Verktygs-/Koordinatnummer:;;Komp. rikt.: (X, Y, Z, R o.s.v…);;;;
80;Ø2,5 ↓ 1,0 (x2);T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;"Djup styrs av ""ID-70"" & ""ID-5""."
81;L 3,5;"P04
P05";För många T#/P# angivna!;"Y
Y";;FALSKT;FALSKT;
82;L 3;T16;Fasfräs 45° (special);;;FALSKT;FALSKT;"Styrs av ""ID-27""."
83;L 10,6;"P04
P05";För många T#/P# angivna!;"X
X";;FALSKT;FALSKT;"Styrs av ""ID-32""."
84;L 28,6;T02;Pinnfräs Ø12;R;;FALSKT;FALSKT;"Styrande för ""ID-45""."
85;V 7°;T11;Profilfräs 7° - Ø16;;;SANT;FALSKT;
86;iR 19;T06;Profilfräs Ø4;R;;FALSKT;FALSKT;Första på sida 4.
87;iR 2,6 (x4);T06;Profilfräs Ø4;R;;FALSKT;FALSKT;
88;iL 8,1 ±0,1;T04;Pinnfräs Ø4;P2;X;FALSKT;FALSKT;"Styrs av ""ID-32""."
89;V 20° (x2);T02;Pinnfräs Ø12;;;FALSKT;SANT;
90;Symm. 0,1/C;P02;Baksida.;Y;;FALSKT;FALSKT;
91;iL 19,2 ±0,05;T06;Profilfräs Ø4;R;;FALSKT;FALSKT;
92;L 0,5 ±0,05;T03;Pinnfräs Ø6;R;;FALSKT;FALSKT;
93;L 7 ±0,1;T06;Profilfräs Ø4;R;Z;FALSKT;FALSKT;"Styrs av ""ID-32""."
94;iL 18,2 ±0,05;T06;Profilfräs Ø4;R;;FALSKT;FALSKT;
95;L 0,8;T05;Profilfräs Ø12;R;;FALSKT;FALSKT;
96;iL 2,3;T04;Pinnfräs Ø4;Z;;FALSKT;FALSKT;
97;F 0,2x45°;T16;Fasfräs 45° (special);;;FALSKT;FALSKT;"Styrs av ""ID-27""."
98;"F 0,3
Chamfer all around";T06;Profilfräs Ø4;;;SANT;FALSKT;
99;L 1,5;T02;Pinnfräs Ø12;;;FALSKT;SANT;
100;iL 17,5 ±0,1;T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
101;iL 15,5 ±0,05;T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
102;Symm. 0,1/C;T04;Pinnfräs Ø4;;;FALSKT;SANT;
103;iL 18,95 ±0,1;T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
104;iL 16,95 ±0,05;T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
105;iL 1 (x4);T04;Pinnfräs Ø4;;;FALSKT;SANT;
106;iR 3,2 (x8);T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
107;iL 40,3 ±0,1;"T02
T04";För många T#/P# angivna!;R;;FALSKT;FALSKT;"""ID-12"" måste vara rätt innan denne kompenseras!"
108;iV 10°;T20;Gängfräs M9x0.5;;;FALSKT;SANT;
109;iL 6,9;T20;Gängfräs M9x0.5;;;FALSKT;SANT;
110;F 0,6;P10;45° (för 'F 0,6').;;;FALSKT;FALSKT;
111;L 9,7;T07;Profilfräs (7°) - Ø16;Z;;FALSKT;FALSKT;
112;L 26;T07;Profilfräs (7°) - Ø16;Z;;FALSKT;FALSKT;
113;L 28,2;T02;Pinnfräs Ø12;R;;FALSKT;FALSKT;"Styrande för ""ID-45""."
114;L 2;T07;Profilfräs (7°) - Ø16;;;SANT;FALSKT;
115;Parall. 0,15/A;T15;Konisk Pinnfräs 5°;;;FALSKT;SANT;"Första på sida 5. Styrs av ""ID-45""."
117;iL 0,85 ±0,05;T04;Pinnfräs Ø4;;;FALSKT;SANT;
118;iL 1,15;T04;Pinnfräs Ø4;;;FALSKT;SANT;
119;"iL 2,85
Outer flat surface";"T04
T35";För många T#/P# angivna!;"Z
R";;FALSKT;FALSKT;
120;iV 95°;T15;Konisk Pinnfräs 5°;;;SANT;FALSKT;
121;F 0,3x45°;T16;Fasfräs 45° (special);;;FALSKT;FALSKT;"Styrs av ""ID-27""."
122;iL 18,8 ±0,1;T10;Pinnfräs Ø4 (lång);Z;;FALSKT;FALSKT;
123;iL 21,8 ±0,1;T10;Pinnfräs Ø4 (lång);Z;;FALSKT;FALSKT;
124;L 12,5 ±0,1*;T15;Konisk Pinnfräs 5°;R;;FALSKT;FALSKT;
125;iL 11,2 ±0,1*;T15;Konisk Pinnfräs 5°;R;;FALSKT;FALSKT;"Styrs av ""ID-127"" & ""ID-134""."
126;iR 5,1 (x4)*;T15;Konisk Pinnfräs 5°;R;;FALSKT;FALSKT;"Styrs av ""ID-127"" & ""ID-134""."
127;iL 23,1 ±0,1*;T15;Konisk Pinnfräs 5°;R;;FALSKT;FALSKT;
128;iV 135°;T15;Konisk Pinnfräs 5°;;;FALSKT;SANT;
129;iR 1,1 (x4);T13;Pinnfräs Ø2;;;FALSKT;SANT;
130;iL 5,25;T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;"Styrs av ""ID-32""."
131;iV 120°;T15;Konisk Pinnfräs 5°;;;FALSKT;SANT;
132;iL 3,61*;T15;Konisk Pinnfräs 5°;R;;FALSKT;FALSKT;"Styrs av ""ID-127""."
133;L 0,45*;T15;Konisk Pinnfräs 5°;R;;FALSKT;FALSKT;"Styrs av ""ID-32""."
134;iL 19,8 ±0,1;T15;Konisk Pinnfräs 5°;R;;FALSKT;FALSKT;
135;iL 11,8 ±0,1;T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;
136;iL 16,46 ±0,1;T15;Konisk Pinnfräs 5°;R;;FALSKT;FALSKT;"Styrs av ""ID-134""."
137;iL 1,9;T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;
138;iR 2,2 (x2)*;T15;Konisk Pinnfräs 5°;;;FALSKT;SANT;
139;iL 3,4;T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;
140;Rätv. 0,15/A;T15;Konisk Pinnfräs 5°;;;SANT;FALSKT;"Styrs av ""ID-45""."
141;iR 2,35 (x2);T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
142;iL 7,32 ±0,1;T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
143;iL 14 ±0,1;T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
144;iL 13,2 ±0,1;T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
145;iR 2,1 (x5);T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
146;iL 12,3 ±0,1;T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;
147;iL 11,2 ±0,1;T04;Pinnfräs Ø4;;;FALSKT;SANT;
148;iL 7,3 ±0,1;T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;
149;iL 7,2 ±0,1;T04;Pinnfräs Ø4;R;;FALSKT;FALSKT;
150;iL 15,8 ±0,1;T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;
151;iL 13,7 ±0,1;T13;Pinnfräs Ø2;R;;FALSKT;FALSKT;
152;iL 11,8 ±0,1;T04;Pinnfräs Ø4;;;FALSKT;SANT;
153;iL 2,8;T04;Pinnfräs Ø4;;;FALSKT;SANT;
154;iL 0,3 ±0,05 (x2);T12;Pinnfräs Ø3;Z;;FALSKT;FALSKT;Sida 3.
155;iL 1,50 ±0,05;T06;Profilfräs Ø4;Z;;FALSKT;FALSKT;Sida 4.
156;iL 0,47;T21;T-spårsfräs Ø6;R;;FALSKT;FALSKT;Sida 4.
157;iL 2,55;T21;T-spårsfräs Ø6;Z;;FALSKT;FALSKT;Sida 4.
158;iL 1,11;T21;T-spårsfräs Ø6;R;;FALSKT;FALSKT;Sida 4.
163;"2x F 0,4 x 45°
((Fas) Ø9,3 x 90°)";T16;Fasfräs 45° (special);R;;FALSKT;FALSKT;Sida 3.
999;"Max depth 0.2 (x0-x3)
(Ø0,7)";T14;Borr Ø1.85;Z;;FALSKT;FALSKT;Sida 8.
